seed,cup,stake,policy,shop_policy,ante_reached,victory,defeat_ante,defeat_blind,gold_earned,gold_final,interest_earned,hands_aces,hands_twos,hands_threes,hands_fours,hands_fives,hands_sixes,hands_three_of_a_kind,hands_four_of_a_kind,hands_full_house,hands_small_straight,hands_large_straight,hands_yahtzee,hands_chance,relics_final,max_hand_score,max_hand_figure
1,standard,1,grid-aware,budget,2,false,2,boss,28,4,0,0,0,0,3,6,3,0,1,3,1,0,0,1,cracked_die;triplet_master;clay_piggy_bank;triplet_master;clay_piggy_bank,459,full_house
2,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,0,1,2,1,1,1,0,1,1,0,0,cracked_die,220,large_straight
3,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,0,1,2,3,2,1,0,1,0,0,2,cracked_die;cracked_die,224,four_of_a_kind
4,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,1,1,3,3,0,0,1,1,0,0,2,cracked_die;cracked_die,224,full_house
5,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,1,1,2,3,0,1,1,1,1,0,1,,228,sixes
6,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,0,2,3,2,1,1,1,1,0,0,1,cracked_die,276,full_house
7,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,0,3,2,3,1,0,1,1,0,0,1,cracked_die;triplet_master,264,full_house
8,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,126,sixes
9,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
10,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,1,1,2,3,0,1,2,1,0,0,0,triplet_master;triplet_master;triplet_master,360,four_of_a_kind
11,standard,1,grid-aware,budget,2,false,2,boss,33,5,0,1,1,1,0,5,5,0,1,1,2,1,0,2,clay_piggy_bank;triplet_master;cracked_die;triplet_master;cracked_die,660,four_of_a_kind
12,standard,1,grid-aware,budget,4,false,4,boss,56,8,2,0,0,1,1,5,10,4,0,3,4,2,0,7,cracked_die;triplet_master;cracked_die;triplet_master;polished_stone,1005,three_of_a_kind
13,standard,1,grid-aware,budget,2,false,2,boss,22,2,0,0,0,3,1,4,5,2,1,1,1,0,0,3,polished_stone;cracked_die;triplet_master;triplet_master,384,full_house
14,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,0,2,3,3,1,0,0,1,0,0,2,cracked_die;clay_piggy_bank,195,small_straight
15,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,0,1,3,3,2,0,1,1,0,0,1,triplet_master;clay_piggy_bank,224,three_of_a_kind
16,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,1,1,0,2,3,1,1,1,1,0,0,1,,172,full_house
17,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,1,1,1,1,0,0,2,0,0,1,clay_piggy_bank,117,small_straight
18,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,1,2,2,1,0,0,0,0,0,1,triplet_master,126,sixes
19,standard,1,grid-aware,budget,3,false,3,boss,64,28,6,0,0,1,5,4,9,0,1,2,5,1,0,3,polished_stone;clay_piggy_bank;cracked_die;cracked_die;clay_piggy_bank,1116,full_house
20,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,0,1,2,1,1,1,1,0,0,0,1,clay_piggy_bank,168,full_house
21,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,,108,sixes
22,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,1,0,3,2,0,0,1,1,0,0,3,triplet_master,232,small_straight
23,standard,1,grid-aware,budget,1,false,1,boss,11,3,0,0,0,0,0,3,3,0,2,1,1,1,0,0,triplet_master;clay_piggy_bank,288,four_of_a_kind
24,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,144,sixes
25,standard,1,grid-aware,budget,2,false,2,boss,23,1,0,0,3,0,0,3,5,1,1,2,2,1,1,1,cracked_die;ghost_die;triplet_master;polished_stone,715,yahtzee
26,standard,1,grid-aware,budget,2,false,2,boss,28,4,0,0,0,4,1,5,6,0,1,1,1,1,0,1,triplet_master;clay_piggy_bank;cracked_die;triplet_master;cracked_die,360,fives
27,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,3,1,3,3,0,0,0,1,0,0,1,cracked_die;clay_piggy_bank,195,small_straight
28,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,126,sixes
29,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,0,1,3,3,1,1,0,2,0,0,1,polished_stone;cracked_die,189,small_straight
30,standard,1,grid-aware,budget,2,false,2,boss,25,5,0,0,0,0,2,4,6,0,3,1,1,2,0,2,cracked_die;triplet_master;triplet_master;clay_piggy_bank;cracked_die,760,four_of_a_kind
31,standard,1,grid-aware,budget,2,false,2,big,21,1,0,0,0,1,1,2,4,0,2,3,1,0,0,2,cracked_die;triplet_master;clay_piggy_bank;triplet_master;triplet_master,520,four_of_a_kind
32,standard,1,grid-aware,budget,1,false,1,boss,12,2,0,0,0,2,1,2,2,0,0,0,3,1,0,1,clay_piggy_bank;pyramid_of_sixes,279,sixes
33,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,0,1,2,2,0,1,0,1,0,0,1,,126,sixes
34,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,1,1,3,3,0,0,0,2,1,0,0,polished_stone;cracked_die;triplet_master,275,large_straight
35,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,1,1,2,2,0,1,0,2,1,0,2,polished_stone;polished_stone,200,large_straight
36,standard,1,grid-aware,budget,5,false,5,big,116,64,30,0,0,8,1,7,9,0,2,3,7,2,0,8,cracked_die;clay_piggy_bank;cracked_die;cracked_die;polished_stone,1204,full_house
